"","week_num","product_analytic_sub_category","total_gmv","total_units","no_of_orders","total_payment_cod","total_payment_prepaid","avg_sla","avg_product_mrp","avg_product_procurement_sla","avg_discount","avg_unitPrice","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","spl_days","NPS"
"92",32,"HomeAudio",6929333,3273,3254,2733,521,4.94283958205286,4176.79778733866,2.84818684695759,41.9474185617701,2123.90104486786,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,3,12.575
"93",33,"CameraAccessory",4449090,3857,3736,2909,827,6.36857601713062,2102.09689507495,2.671573875803,45.6240551391863,1168.52141327623,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"94",33,"GamingAccessory",2892581.80027548,4187,4096,3357,739,5.62109375,1709.77465820312,2.65478515625,48.0036865234375,692.959912176631,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"95",33,"HomeAudio",4556397,2223,2203,1794,409,5.44121652292329,3692.23286427599,2.8161597821153,37.4525374489333,2054.85111211984,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"96",34,"CameraAccessory",6365791,6536,6363,4958,1405,6.33883388338834,1866.93870815653,2.72654408297973,47.7527502750275,987.680700927236,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"97",34,"GamingAccessory",3756734.57616878,5973,5770,4724,1046,5.52131715771231,1885.61057192374,2.78890814558059,50.678,627.644054171396,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"98",34,"HomeAudio",6364258,3002,2983,2434,549,5.20717398592021,4053.57525980556,2.72343278578612,41.0492893060677,2127.0460945357,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,2,12.575
"99",35,"CameraAccessory",4911781,5884,5785,4681,1104,6.2713915298185,1749.6551426102,2.3742437337943,53.7263716508211,841.936387208297,13.5329493087558,0.857142857142857,0.474884792626728,3.84907834101382,0.14147465437788,4.85783410138249,1.59285714285714,1.21774193548387,0.0290322580645161,0.512903225806452,0,12.3592165898618
"100",35,"GamingAccessory",3206139.35018342,4934,4820,4035,785,6.02738589211618,1358.74253112033,2.54751037344398,48.9265373443983,652.761421199879,13.5329493087558,0.857142857142857,0.474884792626728,3.84907834101382,0.14147465437788,4.85783410138249,1.59285714285714,1.21774193548387,0.0290322580645161,0.512903225806452,0,12.3592165898618
"101",35,"HomeAudio",5282624,2486,2476,2023,453,5.85218093699515,3629.18416801292,2.69426494345719,35.5090387722132,2129.43497576737,13.5329493087558,0.857142857142857,0.474884792626728,3.84907834101382,0.14147465437788,4.85783410138249,1.59285714285714,1.21774193548387,0.0290322580645161,0.512903225806452,0,12.3592165898618
